Id,City,State,Country,Full Address,Latitude,Longitude
,StringFilter,StringFilter,StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
337,Indianapolis,Indiana,United States,Indianapolis Indiana United States ,39.768403,-86.158068
338,Guthrie,Kentucky,United States,Guthrie Kentucky United States ,36.6483777,-87.1663917
339,Kenosha,Wisconsin,United States,Kenosha Wisconsin United States ,42.5847425,-87.8211854
340,Tulsa,Oklahoma,United States,Tulsa Oklahoma United States ,36.1539816,-95.992775
341,West Hills,New York,United States,West Hills New York United States ,40.8273364,-73.4381838
342,St. Charles,Illinois,United States,St. Charles Illinois United States ,41.9141945,-88.3086867
343,Zima,-,Russia,Zima - Russia ,53.9225852,102.0423865
344,Glasgow,-,Scotland,Glasgow - Scotland ,55.864237,-4.251806
345,Sussex,-,England,Sussex - England ,50.9280143,-0.4617075
346,Amherst,Massachusetts,United States,Amherst Massachusetts United States ,42.3732216,-72.5198537
347,Portsmouth,New Hampshire,United States,Portsmouth New Hampshire United States ,43.0717552,-70.7625532
348,Nairobi,-,Kenya,Nairobi - Kenya ,-1.2920659,36.8219462
349,Lincoln,Nebraska,United States,Lincoln Nebraska United States ,40.813616,-96.7025955
350,Zurich,-,Switzerland,Zurich - Switzerland ,47.3768866,8.541694
351,Boston,Massachusetts,United States,Boston Massachusetts United States ,42.3600825,-71.0588801
352,Dusseldorf,-,Germany,Dusseldorf - Germany ,51.2277411,6.7734556
353,Bloomington,Indiana,United States,Bloomington Indiana United States ,39.165325,-86.5263857
354,Lewisburg,Pennsylvania,United States,Lewisburg Pennsylvania United States ,40.9645293,-76.8844101
355,Veenendaal,-,Netherlands,Veenendaal - Netherlands ,52.0263009,5.5544309
356,Nashville,Tennessee,United States,Nashville Tennessee United States ,36.1626638,-86.7816016
357,Charlottesville,Virginia,United States,Charlottesville Virginia United States ,38.0293059,-78.4766781
358,Manchester,-,England,Manchester - England ,53.4807593,-2.2426305
359,Tunis,-,Tunisia,Tunis - Tunisia ,36.8064948,10.1815316
360,Rhinebeck,New York,United States,Rhinebeck New York United States ,41.9318294,-73.9074372
361,Fish Hoek,-,South Africa,Fish Hoek - South Africa ,-34.1340882,18.4187029
362,London,Institute for Contemporary Arts,England,London Institute for Contemporary Arts England ,51.5063335,-0.1309615
363,London,Commonwealth Institute,England,London Commonwealth Institute England ,51.4998973,-0.200244
364,Alice,Eastern Cape,South Africa,Alice Eastern Cape South Africa ,-32.7901325,26.8329509
365,Mankweng,Limpopo,South Africa,Mankweng Limpopo South Africa ,-23.8836683,29.7078785
366,Kapsabet,Nandi County,Kenya,Kapsabet Nandi County Kenya ,0.202957,35.0978385
367,Moscow,-,Russia,Moscow - Russia ,55.755826,37.6172999
